runId,phase,effectiveMode,modeName,numRobots,numOrders,crowdednessLevel,randomSeed,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,robot0Tasks,robot1Tasks,robot2Tasks,robot3Tasks,robot4Tasks,robot5Tasks,robot6Tasks,robot7Tasks,robot8Tasks,robot9Tasks,robot0TotalSec,robot1TotalSec,robot2TotalSec,robot3TotalSec,robot4TotalSec,robot5TotalSec,robot6TotalSec,robot7TotalSec,robot8TotalSec,robot9TotalSec
20260509_172111,0,0,SSP,1,100,4,5,3005.00,100,30.05,4.37,61.50,11.47,18.58,0.00,100,0,0,0,0,0,0,0,0,0,3004.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260509_172111,1,1,EV,1,100,4,5,2862.00,100,28.62,4.37,51.26,11.53,17.08,0.00,100,0,0,0,0,0,0,0,0,0,2861.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260509_172111,2,2,EA,1,100,4,5,3014.50,100,30.14,4.09,75.37,12.05,18.09,0.00,100,0,0,0,0,0,0,0,0,0,3014.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP        3005.00
# EV         2862.00
# EA         3014.50
# SSP     vs best: +4.8%
# EV      vs best: +0.0%
# EA      vs best: +5.1%
20260509_172111,0,0,SSP,2,100,4,5,1697.50,100,33.50,4.09,71.66,12.66,20.83,0.00,48,52,0,0,0,0,0,0,0,0,1652.41,1697.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260509_172111,1,1,EV,2,100,4,5,1634.50,100,32.51,4.37,69.20,13.20,19.31,0.00,50,50,0,0,0,0,0,0,0,0,1634.43,1616.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260509_172111,2,2,EA,2,100,4,5,1654.50,100,32.96,4.37,74.81,13.05,19.91,0.00,49,51,0,0,0,0,0,0,0,0,1654.46,1641.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP        1697.50
# EV         1634.50
# EA         1654.50
# SSP     vs best: +3.7%
# EV      vs best: +0.0%
# EA      vs best: +1.2%
20260509_172111,0,0,SSP,3,100,4,5,1234.50,100,35.94,4.37,76.40,13.74,22.20,0.00,31,34,35,0,0,0,0,0,0,0,1193.64,1234.08,1166.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260509_172111,1,1,EV,3,100,4,5,1157.00,100,34.35,4.37,70.54,13.87,20.48,0.00,31,35,34,0,0,0,0,0,0,0,1132.27,1145.44,1156.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260509_172111,2,2,EA,3,100,4,5,1200.00,100,34.85,4.37,80.32,13.71,21.15,0.00,32,31,37,0,0,0,0,0,0,0,1160.72,1124.81,1199.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP        1234.50
# EV         1157.00
# EA         1200.00
# SSP     vs best: +6.3%
# EV      vs best: +0.0%
# EA      vs best: +3.6%
20260509_172111,0,0,SSP,4,100,4,5,974.50,100,37.48,4.37,83.48,14.46,23.02,0.00,26,27,23,24,0,0,0,0,0,0,911.81,945.84,974.27,916.28,0.00,0.00,0.00,0.00,0.00,0.00
