runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260513_010932,1,0,0,SSP,392.50,20,19.62,3.98,38.21,9.19,10.43,0.00,20,1,5
20260513_010932,1,1,1,EV,360.00,20,17.99,3.73,36.66,8.53,9.45,0.00,20,1,5
20260513_010932,1,2,2,EA,360.00,20,17.98,3.98,39.52,8.20,9.78,0.00,20,1,5
20260513_010932,2,0,0,SSP,194.00,20,18.83,3.10,33.02,8.77,10.06,0.00,20,1,5
20260513_010932,2,1,1,EV,178.50,20,17.82,3.40,38.38,8.46,9.36,0.00,20,1,5
20260513_010932,2,2,2,EA,181.00,20,17.19,3.70,34.95,7.75,9.44,0.00,20,1,5
20260513_010932,3,0,0,SSP,132.00,20,18.18,3.40,36.15,8.39,9.80,0.00,20,1,5
20260513_010932,3,1,1,EV,128.50,20,17.26,3.40,34.36,8.15,9.10,0.00,20,1,5
20260513_010932,3,2,2,EA,116.50,20,16.84,3.10,34.98,7.32,9.52,0.00,20,1,5
20260513_010932,4,0,0,SSP,102.00,20,18.95,5.68,37.67,8.39,10.56,0.00,20,1,5
20260513_010932,4,1,1,EV,92.00,20,17.64,6.19,27.62,7.79,9.84,0.00,20,1,5
20260513_010932,4,2,2,EA,94.00,20,16.81,5.68,29.77,7.08,9.74,0.00,20,1,5
20260513_010932,5,0,0,SSP,85.50,20,19.19,8.92,31.55,8.88,10.31,0.00,20,1,5
20260513_010932,5,1,1,EV,81.00,20,18.38,9.09,30.53,8.29,10.09,0.00,20,1,5
20260513_010932,5,2,2,EA,81.00,20,16.73,6.38,28.40,7.48,9.25,0.00,20,1,5
20260513_010932,6,0,0,SSP,63.50,20,17.48,9.03,28.78,7.49,9.99,0.00,20,1,5
20260513_010932,6,1,1,EV,62.00,20,17.38,8.47,30.40,7.57,9.81,0.00,20,1,5
20260513_010932,6,2,2,EA,66.00,20,17.18,7.66,33.32,7.26,9.91,0.00,20,1,5
20260513_010932,7,0,0,SSP,68.00,20,17.78,8.14,36.55,7.52,10.26,0.00,20,1,5
20260513_010932,7,1,1,EV,62.00,20,17.35,7.47,34.25,7.33,10.03,0.00,20,1,5
20260513_010932,7,2,2,EA,67.50,20,16.82,7.76,32.82,6.62,10.20,0.00,20,1,5
20260513_010932,8,0,0,SSP,58.50,20,17.72,3.85,34.81,7.60,10.11,0.00,20,1,5
20260513_010932,8,1,1,EV,52.50,20,16.96,3.85,30.25,7.17,9.79,0.00,20,1,5
20260513_010932,8,2,2,EA,56.50,20,15.86,3.10,32.96,6.09,9.77,0.00,20,1,5
20260513_010932,9,0,0,SSP,49.00,20,17.37,3.85,28.15,6.95,10.42,0.00,20,1,5
20260513_010932,9,1,1,EV,47.00,20,16.79,3.85,29.46,6.84,9.94,0.00,20,1,5
20260513_010932,9,2,2,EA,54.50,20,17.12,4.13,32.17,6.79,10.32,0.00,20,1,5
20260513_010932,10,0,0,SSP,52.50,20,16.90,6.38,35.12,6.57,10.34,0.00,20,1,5
20260513_010932,10,1,1,EV,47.50,20,16.27,6.38,33.63,6.22,10.05,0.00,20,1,5
20260513_010932,10,2,2,EA,51.00,20,15.63,4.47,32.95,5.93,9.70,0.00,20,1,5
20260513_010932,1,0,0,SSP,672.00,20,33.59,6.37,56.15,15.32,18.27,0.00,20,2,5
20260513_010932,1,1,1,EV,583.50,20,29.16,5.62,52.09,13.56,15.60,0.00,20,2,5
20260513_010932,1,2,2,EA,584.00,20,29.20,10.14,54.26,12.82,16.38,0.00,20,2,5
20260513_010932,2,0,0,SSP,299.50,20,29.85,4.70,58.14,13.53,16.32,0.00,20,2,5
20260513_010932,2,1,1,EV,307.50,20,29.52,5.82,55.10,13.63,15.90,0.00,20,2,5
20260513_010932,2,2,2,EA,299.00,20,27.45,5.60,52.91,11.30,16.15,0.00,20,2,5
20260513_010932,3,0,0,SSP,197.50,20,28.43,6.20,57.42,12.25,16.18,0.00,20,2,5
20260513_010932,3,1,1,EV,196.00,20,28.45,4.70,60.03,12.50,15.96,0.00,20,2,5
20260513_010932,3,2,2,EA,194.50,20,26.65,5.60,55.92,10.56,16.10,0.00,20,2,5
20260513_010932,4,0,0,SSP,148.00,20,28.97,10.03,46.46,11.84,17.13,0.00,20,2,5
20260513_010932,4,1,1,EV,161.50,20,28.99,11.37,56.83,12.10,16.89,0.00,20,2,5
20260513_010932,4,2,2,EA,149.00,20,26.48,5.30,50.27,10.45,16.02,0.00,20,2,5
20260513_010932,5,0,0,SSP,122.50,20,29.45,10.58,54.05,11.40,18.05,0.00,20,2,5
20260513_010932,5,1,1,EV,134.00,20,29.44,10.30,56.68,12.30,17.14,0.00,20,2,5
20260513_010932,5,2,2,EA,125.50,20,25.88,5.30,57.45,10.36,15.52,0.00,20,2,5
20260513_010932,6,0,0,SSP,106.00,20,29.46,7.39,52.62,11.97,17.50,0.00,20,2,5
20260513_010932,6,1,1,EV,113.00,20,30.49,6.49,58.29,12.69,17.80,0.00,20,2,5
20260513_010932,6,2,2,EA,125.50,20,29.13,7.29,56.64,12.60,16.53,0.00,20,2,5
20260513_010932,7,0,0,SSP,97.50,20,28.63,13.84,49.69,11.37,17.26,0.00,20,2,5
20260513_010932,7,1,1,EV,98.00,20,29.07,11.42,55.35,11.73,17.34,0.00,20,2,5
20260513_010932,7,2,2,EA,105.50,20,27.27,12.00,49.06,9.43,17.84,0.00,20,2,5
20260513_010932,8,0,0,SSP,95.00,20,28.94,5.23,51.61,11.00,17.93,0.00,20,2,5
20260513_010932,8,1,1,EV,87.50,20,27.78,5.83,52.02,11.47,16.31,0.00,20,2,5
20260513_010932,8,2,2,EA,98.50,20,27.04,5.20,55.06,9.25,17.78,0.00,20,2,5
20260513_010932,9,0,0,SSP,81.00,20,27.04,5.48,47.94,10.49,16.55,0.00,20,2,5
20260513_010932,9,1,1,EV,84.00,20,26.51,5.20,50.77,10.66,15.85,0.00,20,2,5
20260513_010932,9,2,2,EA,71.50,20,24.51,4.40,44.77,7.74,16.77,0.00,20,2,5
20260513_010932,10,0,0,SSP,69.00,20,27.15,8.94,48.99,9.94,17.21,0.00,20,2,5
20260513_010932,10,1,1,EV,77.50,20,26.96,6.49,53.34,10.07,16.89,0.00,20,2,5
20260513_010932,10,2,2,EA,70.50,20,23.24,4.70,46.03,6.66,16.59,0.00,20,2,5
20260513_010932,1,0,0,SSP,828.00,20,41.40,9.65,74.83,17.68,23.71,0.00,20,3,5
20260513_010932,1,1,1,EV,751.00,20,37.54,6.35,67.48,17.48,20.06,0.00,20,3,5
20260513_010932,1,2,2,EA,741.00,20,37.03,10.16,95.26,16.86,20.17,0.00,20,3,5
20260513_010932,2,0,0,SSP,363.50,20,35.82,6.10,68.76,15.78,20.05,0.00,20,3,5
20260513_010932,2,1,1,EV,361.00,20,35.29,5.60,75.95,16.72,18.57,0.00,20,3,5
