runId,phase,effectiveMode,modeName,robotId,taskSeq,pickupNode,destNode,taskStartSim,toPickupSec,deliveryLegSec,returnSec,totalSec,expOutSec,expInSec,hopsToStore,hopsToDest,hopsReturn,crowdednessLevel,numRobots,numOrders,randomSeed
20260513_011122,0,0,SSP,0,1,node50,node58,0.00,13.02,3.63,0.00,16.65,66.00,40.41,1,3,0,1,1,20,42
20260513_011122,0,0,SSP,0,2,node12,node27,16.65,8.66,5.19,0.00,13.85,0.00,26.24,0,4,0,1,1,20,42
20260513_011122,0,0,SSP,0,3,node12,node25,30.49,5.81,2.82,0.00,8.64,0.00,12.86,0,2,0,1,1,20,42
20260513_011122,0,0,SSP,0,4,node12,node46,39.13,3.12,14.21,0.00,17.34,0.00,64.74,0,8,0,1,1,20,42
20260513_011122,0,0,SSP,0,5,node43,node52,56.47,4.30,8.96,0.00,13.26,0.00,40.71,0,5,0,1,1,20,42
20260513_011122,0,0,SSP,0,6,node50,node38,69.72,5.29,5.89,0.00,11.18,0.00,31.52,0,5,0,1,1,20,42
20260513_011122,0,0,SSP,0,7,node43,node67,80.91,7.34,17.95,0.00,25.29,0.00,94.66,0,9,0,1,1,20,42
20260513_011122,0,0,SSP,0,8,node12,node51,106.20,8.36,19.13,0.00,27.48,0.00,82.67,0,9,0,1,1,20,42
20260513_011122,0,0,SSP,0,9,node50,node61,133.68,6.56,6.28,0.00,12.84,0.00,27.90,0,4,0,1,1,20,42
20260513_011122,0,0,SSP,0,10,node43,node67,146.52,1.27,19.38,0.00,20.65,0.00,94.66,0,9,0,1,1,20,42
20260513_011122,0,0,SSP,0,11,node21,node11,167.17,9.36,6.37,0.00,15.73,0.00,37.07,0,5,0,1,1,20,42
20260513_011122,0,0,SSP,0,12,node21,node59,182.90,7.29,10.38,0.00,17.67,0.00,55.23,0,7,0,1,1,20,42
20260513_011122,0,0,SSP,0,13,node50,node29,200.57,2.83,13.62,0.00,16.44,0.00,70.22,0,7,0,1,1,20,42
20260513_011122,0,0,SSP,0,14,node21,node62,217.01,11.85,11.02,0.00,22.87,0.00,44.71,0,6,0,1,1,20,42
20260513_011122,0,0,SSP,0,15,node43,node65,239.89,2.06,19.63,0.00,21.69,0.00,83.68,0,8,0,1,1,20,42
20260513_011122,0,0,SSP,0,16,node50,node17,261.58,11.63,11.55,0.00,23.17,0.00,54.52,0,4,0,1,1,20,42
20260513_011122,0,0,SSP,0,17,node43,node66,284.75,5.58,20.56,0.00,26.14,0.00,88.35,0,8,0,1,1,20,42
20260513_011122,0,0,SSP,0,18,node21,node18,310.90,9.67,4.33,0.00,14.00,0.00,21.71,0,3,0,1,1,20,42
20260513_011122,0,0,SSP,0,19,node21,node51,324.90,4.66,22.40,0.00,27.06,0.00,90.93,0,11,0,1,1,20,42
20260513_011122,0,0,SSP,0,20,node43,node33,351.96,10.19,13.66,0.00,23.85,0.00,61.85,0,9,0,1,1,20,42
20260513_011122,1,1,EV,0,1,node50,node58,376.00,13.40,3.63,0.00,17.03,62.17,40.41,1,3,0,1,1,20,42
20260513_011122,1,1,EV,0,2,node12,node27,393.03,9.50,5.45,0.00,14.94,0.00,26.24,0,4,0,1,1,20,42
20260513_011122,1,1,EV,0,3,node12,node25,407.98,5.50,2.57,0.00,8.07,0.00,12.86,0,2,0,1,1,20,42
20260513_011122,1,1,EV,0,4,node12,node46,416.05,2.82,14.21,0.00,17.04,0.00,64.74,0,8,0,1,1,20,42
20260513_011122,1,1,EV,0,5,node43,node52,433.08,4.01,8.98,0.00,12.99,0.00,40.71,0,5,0,1,1,20,42
20260513_011122,1,1,EV,0,6,node50,node38,446.07,5.48,6.63,0.00,12.12,0.00,31.52,0,5,0,1,1,20,42
20260513_011122,1,1,EV,0,7,node43,node67,458.19,7.07,17.88,0.00,24.95,0.00,75.70,0,9,0,1,1,20,42
20260513_011122,1,1,EV,0,8,node12,node51,483.13,6.69,14.90,0.00,21.59,0.00,66.57,0,8,0,1,1,20,42
20260513_011122,1,1,EV,0,9,node50,node61,504.72,7.27,5.76,0.00,13.03,0.00,27.90,0,4,0,1,1,20,42
20260513_011122,1,1,EV,0,10,node43,node67,517.76,1.04,17.89,0.00,18.93,0.00,75.70,0,9,0,1,1,20,42
20260513_011122,1,1,EV,0,11,node21,node11,536.69,10.98,8.78,0.00,19.77,0.00,35.32,0,5,0,1,1,20,42
20260513_011122,1,1,EV,0,12,node21,node59,556.45,7.29,11.32,0.00,18.62,0.00,55.23,0,7,0,1,1,20,42
20260513_011122,1,1,EV,0,13,node50,node29,575.07,2.60,12.98,0.00,15.58,0.00,70.22,0,7,0,1,1,20,42
20260513_011122,1,1,EV,0,14,node21,node62,590.64,11.92,10.76,0.00,22.69,0.00,44.71,0,6,0,1,1,20,42
20260513_011122,1,1,EV,0,15,node43,node65,613.33,2.06,17.48,0.00,19.54,0.00,70.47,0,9,0,1,1,20,42
20260513_011122,1,1,EV,0,16,node50,node17,632.87,9.73,11.12,0.00,20.85,0.00,51.94,0,7,0,1,1,20,42
20260513_011122,1,1,EV,0,17,node43,node66,653.72,5.30,16.58,0.00,21.88,0.00,72.28,0,9,0,1,1,20,42
20260513_011122,1,1,EV,0,18,node21,node18,675.60,10.27,4.33,0.00,14.60,0.00,21.71,0,3,0,1,1,20,42
