runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260513_223801,1,0,0,SSP,378.50,20,18.90,6.52,34.15,7.30,11.60,0.00,20,1,1031
20260513_223801,1,1,1,EV,360.00,20,17.98,7.42,28.23,6.83,11.15,0.00,20,1,1031
20260513_223801,1,2,2,EA,370.00,20,18.49,7.32,40.89,7.45,11.04,0.00,20,1,1031
20260513_223801,2,0,0,SSP,191.00,20,17.82,6.17,33.05,6.57,11.24,0.00,20,1,1031
20260513_223801,2,1,1,EV,185.50,20,17.61,5.85,34.63,6.57,11.04,0.00,20,1,1031
20260513_223801,2,2,2,EA,202.00,20,18.49,8.25,39.41,7.32,11.18,0.00,20,1,1031
20260513_223801,3,0,0,SSP,129.00,20,18.34,1.99,32.23,7.14,11.20,0.00,20,1,1031
20260513_223801,3,1,1,EV,127.00,20,18.38,1.99,32.11,7.16,11.22,0.00,20,1,1031
20260513_223801,3,2,2,EA,123.50,20,16.59,1.99,30.83,5.66,10.93,0.00,20,1,1031
20260513_223801,4,0,0,SSP,110.50,20,18.20,1.99,28.85,7.01,11.19,0.00,20,1,1031
20260513_223801,4,1,1,EV,106.00,20,17.52,1.99,29.06,6.33,11.20,0.00,20,1,1031
20260513_223801,4,2,2,EA,108.00,20,18.22,1.99,38.87,6.81,11.41,0.00,20,1,1031
20260513_223801,5,0,0,SSP,96.50,20,18.62,1.99,30.49,7.11,11.50,0.00,20,1,1031
20260513_223801,5,1,1,EV,85.00,20,18.12,1.99,37.45,6.85,11.27,0.00,20,1,1031
20260513_223801,5,2,2,EA,85.00,20,17.97,4.92,33.41,6.63,11.34,0.00,20,1,1031
20260513_223801,6,0,0,SSP,69.00,20,18.36,1.99,33.15,6.61,11.75,0.00,20,1,1031
20260513_223801,6,1,1,EV,72.50,20,18.17,1.99,31.95,6.55,11.62,0.00,20,1,1031
