runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260514_145139,1,0,0,SSP,364.00,20,18.19,6.35,29.20,7.28,10.91,0.00,20,1,1031
20260514_145139,1,1,1,EV,357.50,20,17.87,6.35,28.69,7.01,10.86,0.00,20,1,1031
20260514_145139,1,2,2,EA,366.50,20,18.31,7.07,41.00,7.59,10.73,0.00,20,1,1031
20260514_145139,2,0,0,SSP,199.00,20,18.38,6.45,34.20,6.95,11.43,0.00,20,1,1031
20260514_145139,2,1,1,EV,190.50,20,17.45,6.02,32.09,6.82,10.63,0.00,20,1,1031
20260514_145139,2,2,2,EA,197.00,20,17.93,6.38,36.87,7.44,10.49,0.00,20,1,1031
20260514_145139,3,0,0,SSP,131.00,20,18.67,1.99,30.60,7.64,11.03,0.00,20,1,1031
20260514_145139,3,1,1,EV,123.00,20,18.01,1.99,29.33,7.39,10.62,0.00,20,1,1031
20260514_145139,3,2,2,EA,134.50,20,17.71,2.84,33.47,7.03,10.67,0.00,20,1,1031
20260514_145139,4,0,0,SSP,99.00,20,17.59,1.99,30.46,6.67,10.92,0.00,20,1,1031
20260514_145139,4,1,1,EV,97.50,20,16.53,2.41,28.87,5.98,10.55,0.00,20,1,1031
20260514_145139,4,2,2,EA,104.00,20,17.16,1.99,35.62,6.51,10.64,0.00,20,1,1031
20260514_145139,5,0,0,SSP,89.50,20,17.86,2.41,37.82,6.63,11.24,0.00,20,1,1031
20260514_145139,5,1,1,EV,84.50,20,18.30,1.99,37.51,7.22,11.09,0.00,20,1,1031
20260514_145139,5,2,2,EA,82.00,20,17.87,5.45,34.65,6.97,10.90,0.00,20,1,1031
20260514_145139,6,0,0,SSP,79.00,20,18.73,1.99,38.84,7.58,11.15,0.00,20,1,1031
20260514_145139,6,1,1,EV,73.50,20,18.11,1.99,28.63,6.81,11.30,0.00,20,1,1031
20260514_145139,6,2,2,EA,71.00,20,17.74,4.92,34.37,6.68,11.06,0.00,20,1,1031
20260514_145139,7,0,0,SSP,63.50,20,17.94,1.99,39.60,6.58,11.36,0.00,20,1,1031
20260514_145139,7,1,1,EV,58.00,20,17.47,1.99,35.35,6.53,10.94,0.00,20,1,1031
20260514_145139,7,2,2,EA,67.50,20,17.44,5.40,32.87,6.70,10.74,0.00,20,1,1031
20260514_145139,8,0,0,SSP,62.00,20,17.81,1.99,39.03,6.59,11.22,0.00,20,1,1031
20260514_145139,8,1,1,EV,56.50,20,17.55,1.99,35.47,6.68,10.87,0.00,20,1,1031
20260514_145139,8,2,2,EA,53.50,20,16.93,8.56,27.99,6.01,10.93,0.00,20,1,1031
20260514_145139,9,0,0,SSP,62.00,20,18.39,1.99,37.91,7.18,11.21,0.00,20,1,1031
20260514_145139,9,1,1,EV,61.00,20,18.12,1.99,37.27,7.18,10.94,0.00,20,1,1031
20260514_145139,9,2,2,EA,50.00,20,17.26,7.25,28.67,6.32,10.93,0.00,20,1,1031
20260514_145139,10,0,0,SSP,52.50,20,17.52,3.51,30.41,6.27,11.26,0.00,20,1,1031
20260514_145139,10,1,1,EV,48.00,20,17.77,3.83,27.14,6.46,11.31,0.00,20,1,1031
20260514_145139,10,2,2,EA,43.50,20,16.83,3.83,29.92,6.11,10.72,0.00,20,1,1031
20260514_145139,1,0,0,SSP,590.00,20,29.50,8.28,53.47,11.20,18.30,0.00,20,2,1031
20260514_145139,1,1,1,EV,582.00,20,29.08,8.78,45.96,10.41,18.67,0.00,20,2,1031
20260514_145139,1,2,2,EA,628.00,20,31.38,12.65,72.49,12.47,18.91,0.00,20,2,1031
20260514_145139,2,0,0,SSP,313.50,20,29.36,11.79,53.27,10.92,18.44,0.00,20,2,1031
20260514_145139,2,1,1,EV,303.50,20,29.39,10.14,50.55,10.96,18.43,0.00,20,2,1031
20260514_145139,2,2,2,EA,332.50,20,30.94,12.89,68.01,12.48,18.46,0.00,20,2,1031
