runId,phase,effectiveMode,modeName,robotId,taskSeq,pickupNode,destNode,taskStartSim,toPickupSec,deliveryLegSec,returnSec,totalSec,expOutSec,expInSec,hopsToStore,hopsToDest,hopsReturn,crowdednessLevel,numRobots,numOrders,randomSeed
20260514_151931,0,0,SSP,0,1,node29,node72,0.00,2.56,13.88,0.00,16.44,19.87,57.94,1,7,0,1,1,20,4901
20260514_151931,0,0,SSP,0,2,node75,node6,16.44,3.92,15.65,0.00,19.57,0.00,59.34,0,5,0,1,1,20,4901
20260514_151931,0,0,SSP,0,3,node59,node66,36.01,7.34,14.59,0.00,21.93,0.00,61.96,0,6,0,1,1,20,4901
20260514_151931,0,0,SSP,0,4,node29,node20,57.95,3.98,13.31,0.00,17.29,0.00,64.65,0,9,0,1,1,20,4901
20260514_151931,0,0,SSP,0,5,node75,node25,75.23,2.74,7.99,0.00,10.73,0.00,36.51,0,5,0,1,1,20,4901
20260514_151931,0,0,SSP,0,6,node27,node21,85.97,2.68,8.75,0.00,11.42,0.00,44.40,0,6,0,1,1,20,4901
20260514_151931,0,0,SSP,0,7,node75,node15,97.39,1.10,5.72,0.00,6.82,0.00,27.36,0,4,0,1,1,20,4901
20260514_151931,0,0,SSP,0,8,node75,node73,104.21,5.47,2.59,0.00,8.06,0.00,12.94,0,2,0,1,1,20,4901
20260514_151931,0,0,SSP,0,9,node75,node4,112.27,2.59,14.85,0.00,17.44,0.00,56.53,0,7,0,1,1,20,4901
20260514_151931,0,0,SSP,0,10,node27,node60,129.71,7.81,16.29,0.00,24.10,0.00,87.46,0,10,0,1,1,20,4901
20260514_151931,0,0,SSP,0,11,node59,node43,153.81,1.13,4.17,0.00,5.30,0.00,20.84,0,2,0,1,1,20,4901
20260514_151931,0,0,SSP,0,12,node59,node43,159.11,5.05,5.07,0.00,10.12,0.00,20.84,0,2,0,1,1,20,4901
20260514_151931,0,0,SSP,0,13,node75,node56,169.23,12.12,18.92,0.00,31.04,0.00,77.87,0,7,0,1,1,20,4901
20260514_151931,0,0,SSP,0,14,node29,node9,200.28,10.21,10.21,0.00,20.42,0.00,47.06,0,5,0,1,1,20,4901
20260514_151931,0,0,SSP,0,15,node75,node63,220.70,7.15,8.11,0.00,15.26,0.00,33.37,0,4,0,1,1,20,4901
20260514_151931,0,0,SSP,0,16,node75,node17,235.95,9.30,6.76,0.00,16.06,0.00,34.31,0,5,0,1,1,20,4901
20260514_151931,0,0,SSP,0,17,node75,node47,252.01,7.16,12.66,0.00,19.82,0.00,62.56,0,8,0,1,1,20,4901
20260514_151931,0,0,SSP,0,18,node75,node46,271.84,12.89,8.05,0.00,20.93,0.00,40.75,0,6,0,1,1,20,4901
