runId,phase,effectiveMode,modeName,numRobots,numOrders,crowdednessLevel,randomSeed,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,robot0Tasks,robot1Tasks,robot2Tasks,robot3Tasks,robot4Tasks,robot5Tasks,robot6Tasks,robot7Tasks,robot8Tasks,robot9Tasks,robot0TotalSec,robot1TotalSec,robot2TotalSec,robot3TotalSec,robot4TotalSec,robot5TotalSec,robot6TotalSec,robot7TotalSec,robot8TotalSec,robot9TotalSec
20260514_151753,0,0,SSP,1,20,1,3851,269.50,20,13.47,5.45,24.43,4.30,9.17,0.00,20,0,0,0,0,0,0,0,0,0,269.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151753,1,1,EV,1,20,1,3851,269.00,20,13.45,5.45,26.78,4.56,8.89,0.00,20,0,0,0,0,0,0,0,0,0,268.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151753,2,2,EA,1,20,1,3851,292.50,20,14.62,4.92,29.26,5.38,9.24,0.00,20,0,0,0,0,0,0,0,0,0,292.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         269.50
# EV          269.00
# EA          292.50
# SSP     vs best: +0.2%
# EV      vs best: +0.0%
# EA      vs best: +8.0%
20260514_151753,0,0,SSP,2,20,1,3851,149.00,20,14.09,3.19,24.71,4.40,9.68,0.00,11,9,0,0,0,0,0,0,0,0,132.80,148.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151753,1,1,EV,2,20,1,3851,142.50,20,13.41,2.94,24.56,4.20,9.21,0.00,10,10,0,0,0,0,0,0,0,0,126.04,142.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260514_151753,2,2,EA,2,20,1,3851,155.50,20,14.17,4.92,27.21,5.24,8.92,0.00,10,10,0,0,0,0,0,0,0,0,128.19,155.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

# COMPARISON SUMMARY
# Mode    Makespan(s)
# SSP         149.00
# EV          142.50
# EA          155.50
