runId,robotId,taskId,routingMode,numRobots,numOrders,pickupNode,destNode,taskStartTime,deliveryTime,returnTime,totalTime,expOutTime,expInTime
20260504_114156,1,1,2,4,16,node68,node28,1.00,6.00,2.00,8.00,13.29,13.29
20260504_114156,3,1,2,4,16,node28,node10,1.00,12.00,2.00,14.00,21.81,21.80
20260504_114156,0,1,2,4,16,node28,node2,1.00,16.00,1.50,17.50,25.60,25.60
20260504_114156,3,2,2,4,16,node68,node71,15.10,7.90,1.00,8.90,17.00,17.00
20260504_114156,1,2,2,4,16,node68,node55,9.10,15.40,1.00,16.40,28.53,28.53
20260504_114156,2,1,2,4,16,node28,node34,1.00,23.50,1.50,25.00,38.64,38.64
20260504_114156,0,2,2,4,16,node68,node8,18.60,14.40,2.50,16.90,18.02,18.01
20260504_114156,3,3,2,4,16,node68,node74,24.10,10.40,1.00,11.40,21.06,21.06
20260504_114156,0,3,2,4,16,node41,node40,35.60,1.40,1.50,2.90,5.22,5.22
20260504_114156,0,4,2,4,16,node42,node43,38.60,1.90,1.50,3.40,5.70,5.70
20260504_114156,1,3,2,4,16,node28,node71,25.60,14.90,2.00,16.90,30.29,30.29
20260504_114156,2,2,2,4,16,node68,node13,26.10,19.40,1.00,20.40,35.78,35.78
20260504_114156,3,4,2,4,16,node41,node36,35.60,13.40,1.50,14.90,27.08,27.08
20260504_114156,0,5,2,4,16,node41,node21,42.10,30.40,1.50,31.90,57.80,57.80
20260504_114156,1,4,2,4,16,node28,node19,42.60,30.90,1.50,32.40,56.36,56.36
20260504_114156,2,3,2,4,16,node28,node17,46.60,31.90,2.00,33.90,60.73,60.73
SUMMARY_20260504_114156,,,2,4,16,,,1.00,,,79.50,,,
